application_id,student_id,company_id,application_date,status,round_cleared,interview_score,package_offered_lpa,offer_date,joining_date
APP000001,STU00002,CMP0103,2025-01-10,Applied,0,,,,
APP000002,STU00003,CMP0015,2025-01-03,Interviewed,2,55.4,,,
APP000003,STU00003,CMP0069,2025-02-11,Rejected,0,,,,
APP000004,STU00003,CMP0061,2024-12-12,Rejected,0,,,,
APP000005,STU00004,CMP0017,2025-03-15,Applied,0,,,,
APP000006,STU00004,CMP0020,2024-08-23,Applied,0,,,,
APP000007,STU00005,CMP0054,2024-09-18,Rejected,0,,,,
APP000008,STU00005,CMP0010,2025-05-12,Selected,3,46.2,12.5,2025-07-24,
APP000009,STU00005,CMP0059,2024-12-20,Rejected,0,,,,
APP000010,STU00005,CMP0044,2024-12-12,Offer Accepted,3,53.7,24.3,2025-02-17,2025-03-31
APP000011,STU00005,CMP0105,2025-01-06,Shortlisted,0,,,,
APP000012,STU00005,CMP0023,2025-01-05,Offer Declined,2,84.3,,,
APP000013,STU00006,CMP0125,2025-01-21,Selected,3,97.4,11.1,2025-03-24,
APP000014,STU00006,CMP0147,2024-12-16,Shortlisted,0,,,,
APP000015,STU00006,CMP0012,2024-09-23,Interviewed,4,76.1,,,
APP000016,STU00007,CMP0114,2024-08-20,Offer Accepted,0,64.8,28.0,2024-11-11,2024-12-08
APP000017,STU00008,CMP0049,2024-08-13,Selected,0,97.2,37.0,2024-10-27,
APP000018,STU00009,CMP0124,2024-10-03,Offer Accepted,3,76.8,30.9,2024-12-17,2025-03-14
APP000019,STU00009,CMP0074,2024-11-28,Shortlisted,0,,,,
APP000020,STU00009,CMP0129,2024-11-29,Rejected,0,,,,
APP000021,STU00010,CMP0131,2024-09-21,Rejected,0,,,,
APP000022,STU00010,CMP0027,2024-09-15,Rejected,0,,,,
APP000023,STU00010,CMP0056,2025-05-27,Interviewed,2,57.0,,,
APP000024,STU00011,CMP0119,2024-11-14,Selected,2,46.8,9.8,2025-01-21,
APP000025,STU00011,CMP0018,2024-09-30,Applied,0,,,,
APP000026,STU00012,CMP0146,2024-09-09,Interviewed,0,64.9,,,
APP000027,STU00012,CMP0026,2025-02-19,Applied,0,,,,
APP000028,STU00012,CMP0140,2025-02-10,Rejected,0,,,,
APP000029,STU00012,CMP0086,2024-08-04,Interviewed,1,59.5,,,
APP000030,STU00012,CMP0055,2024-10-02,Selected,1,68.5,6.9,2024-12-01,
APP000031,STU00013,CMP0041,2025-01-15,Selected,3,72.1,35.1,2025-02-17,
APP000032,STU00013,CMP0102,2024-10-05,Rejected,0,,,,
APP000033,STU00014,CMP0075,2025-05-10,Rejected,0,,,,
APP000034,STU00014,CMP0017,2024-11-28,Rejected,0,,,,
