interview_id,application_id,round_number,interview_type,score,result,interviewer_feedback,duration_minutes
INT0000001,APP000002,1,Group Discussion,65.0,Pass,Needs Improvement,30
INT0000002,APP000003,1,Group Discussion,68.0,Pass,Strong Technical Skills,90
INT0000003,APP000003,2,Group Discussion,60.8,On Hold,Lacks Domain Knowledge,120
INT0000004,APP000003,3,HR,42.6,Pass,Good Communication,120
INT0000005,APP000003,4,HR,49.8,On Hold,Excellent Problem Solving,120
INT0000006,APP000004,1,Coding,70.8,Pass,Excellent Problem Solving,120
INT0000007,APP000007,1,Group Discussion,65.2,On Hold,Good Communication,60
INT0000008,APP000008,1,HR,56.7,On Hold,Needs Improvement,120
INT0000009,APP000008,2,Case Study,79.7,Fail,Needs Improvement,90
INT0000010,APP000009,1,HR,52.5,Pass,Good Communication,60
INT0000011,APP000010,1,Case Study,72.7,On Hold,Strong Technical Skills,120
INT0000012,APP000010,2,Group Discussion,39.9,Pass,Needs Improvement,60
INT0000013,APP000010,3,Aptitude,88.1,On Hold,Lacks Domain Knowledge,30
INT0000014,APP000013,1,Technical,41.6,Fail,Lacks Domain Knowledge,90
INT0000015,APP000015,1,Case Study,34.2,On Hold,Strong Technical Skills,45
INT0000016,APP000015,2,HR,88.1,On Hold,Strong Technical Skills,120
INT0000017,APP000015,3,HR,66.2,Pass,Lacks Domain Knowledge,60
INT0000018,APP000015,4,Aptitude,41.1,Pass,Needs Improvement,90
INT0000019,APP000016,1,Technical,73.7,Fail,Good Communication,30
INT0000020,APP000016,2,Coding,63.9,Fail,Lacks Domain Knowledge,120
INT0000021,APP000016,3,Coding,58.5,Pass,Needs Improvement,120
INT0000022,APP000017,1,Group Discussion,37.2,Fail,Lacks Domain Knowledge,30
INT0000023,APP000018,1,Coding,96.4,Fail,Strong Technical Skills,30
INT0000024,APP000020,1,HR,69.8,Fail,Good Communication,90
INT0000025,APP000020,2,Group Discussion,51.8,Fail,Needs Improvement,45
INT0000026,APP000021,1,Aptitude,85.8,On Hold,Average Performance,90
INT0000027,APP000021,2,Case Study,95.1,Pass,Needs Improvement,120
INT0000028,APP000021,3,Coding,43.5,Pass,Lacks Domain Knowledge,120
INT0000029,APP000021,4,Coding,75.8,Pass,Good Communication,30
INT0000030,APP000022,1,Case Study,51.2,On Hold,Average Performance,45
INT0000031,APP000022,2,HR,37.2,On Hold,Excellent Problem Solving,30
INT0000032,APP000022,3,Group Discussion,87.2,On Hold,Average Performance,60
INT0000033,APP000023,1,Coding,94.7,Fail,Lacks Domain Knowledge,90
INT0000034,APP000024,1,Group Discussion,63.0,On Hold,Good Communication,45
INT0000035,APP000026,1,Group Discussion,61.6,On Hold,Average Performance,120
INT0000036,APP000028,1,Group Discussion,63.6,Pass,Excellent Problem Solving,30
INT0000037,APP000028,2,Group Discussion,84.3,Fail,Average Performance,90
INT0000038,APP000029,1,Case Study,88.4,On Hold,Lacks Domain Knowledge,45
INT0000039,APP000029,2,Technical,68.9,On Hold,Average Performance,120
INT0000040,APP000029,3,Technical,53.8,Pass,Excellent Problem Solving,120
INT0000041,APP000029,4,Coding,37.8,Pass,Lacks Domain Knowledge,90
INT0000042,APP000030,1,Case Study,71.7,Pass,Excellent Problem Solving,30
INT0000043,APP000030,2,Coding,45.3,Pass,Lacks Domain Knowledge,90
INT0000044,APP000030,3,Case Study,40.5,Fail,Average Performance,30
