customer_id,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,Cluster
CUST000001,138,6,52074.32,3,2,5,10,Potential Loyalists,0
CUST000002,52,5,17329.550000000003,4,1,1,6,New Customers,1
CUST000003,126,7,28138.33,3,3,3,9,Loyal Customers,0
CUST000004,847,2,5534.97,1,1,1,3,Lost,2
CUST000005,224,10,59356.08,2,5,5,12,At Risk,3
CUST000006,148,5,25444.199999999997,3,1,3,7,Potential Loyalists,1
CUST000007,175,6,24727.37,2,2,2,6,Others,1
CUST000008,20,9,44838.54,5,4,5,14,Champions,3
CUST000009,232,11,54404.43,2,5,5,12,At Risk,3
CUST000010,11,9,38323.77,5,4,4,13,Champions,0
CUST000011,99,7,24763.17,3,3,2,8,Loyal Customers,0
CUST000012,152,8,28692.11,2,4,3,9,At Risk,0
CUST000013,28,7,41673.48,5,3,4,12,Loyal Customers,0
CUST000014,226,6,24781.98,2,2,2,6,Others,1
CUST000015,51,13,48305.4,4,5,5,14,Champions,3
CUST000016,237,7,45730.03,2,3,5,10,At Risk,0
CUST000017,110,13,44067.53,3,5,5,13,Loyal Customers,3
CUST000018,553,4,17049.17,1,1,1,3,Lost,2
CUST000019,35,7,29753.059999999998,5,3,3,11,Loyal Customers,0
CUST000020,123,4,24699.12,3,1,2,6,Others,1
CUST000021,205,5,33556.9,2,1,4,7,Cannot Lose Them,0
CUST000022,51,9,49470.57,4,4,5,13,Champions,3
CUST000023,154,10,33901.74,2,5,4,11,At Risk,0
CUST000024,375,5,15292.73,1,1,1,3,Lost,2
CUST000025,55,9,35146.44,4,4,4,12,Champions,0
CUST000026,47,8,39453.82,4,4,4,12,Champions,0
CUST000027,14,7,31111.65,5,3,3,11,Loyal Customers,0
CUST000028,79,10,36702.95,4,5,4,13,Champions,0
CUST000029,12,5,20199.32,5,1,2,8,New Customers,1
CUST000030,157,8,34462.659999999996,2,4,4,10,At Risk,0
CUST000031,145,5,12479.869999999999,3,1,1,5,Others,1
CUST000032,303,6,30793.12,1,2,3,6,Cannot Lose Them,0
CUST000033,816,4,15287.84,1,1,1,3,Lost,2
CUST000034,127,8,32321.16,3,4,3,10,Loyal Customers,0
CUST000035,181,4,15361.41,2,1,1,4,Others,1
CUST000036,228,11,40216.45,2,5,4,11,At Risk,3
CUST000037,51,6,22474.489999999998,4,2,2,8,New Customers,1
CUST000038,286,8,30612.53,1,4,3,8,At Risk,0
CUST000039,17,12,65514.87,5,5,5,15,Champions,3
